Comment,Designator,Footprint,LCSC
100R,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
10K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
22R,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17561
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
N76E003AT20,U2,SOP65P640X120-20N,C82751
